#SampleID	study-id	author	sample-name	condition1	condition2	condition3	mix1	mix2	type
SRR14300497	SRP315877	SINGH_2021	C6-40_S77_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300498	SRP315877	SINGH_2021	C3-16_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300499	SRP315877	SINGH_2021	C3-17_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300500	SRP315877	SINGH_2021	C3-18_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300501	SRP315877	SINGH_2021	C3-19_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300502	SRP315877	SINGH_2021	C3-20_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300503	SRP315877	SINGH_2021	C3-22_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300504	SRP315877	SINGH_2021	C3-21_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300505	SRP315877	SINGH_2021	C3-23_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300506	SRP315877	SINGH_2021	C3-24_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300507	SRP315877	SINGH_2021	C3-25_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300508	SRP315877	SINGH_2021	C6-41_S78_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300509	SRP315877	SINGH_2021	C3-26_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300510	SRP315877	SINGH_2021	C3-27_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300511	SRP315877	SINGH_2021	C3-28_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300512	SRP315877	SINGH_2021	C3-29_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300513	SRP315877	SINGH_2021	C3-30_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
