genera	relative abundance
Membranihabitans	1.12E-07
CAIVSN01	1.07E-07
Limnobacter	1.07E-07
M3007	1.07E-07
Hathewaya	1.07E-07
Egerieousia	1.06E-07
Hominenteromicrobium	1.05E-07
JABWAZ01	1.05E-07
Fournierella	1.05E-07
Algoriphagus	1.02E-07
SHZI01	1.02E-07
JACADU01	1.02E-07
Clostridium_L	9.87E-08
M1-B18	9.71E-08
DSDT01	9.71E-08
Wohlfahrtiimonas	9.51E-08
JAKSBV01	9.38E-08
JACRTK01	9.38E-08
JAABTL01	9.38E-08
CAJBEZ01	9.38E-08
JAEYRA01	9.25E-08
Limivicinus	9.12E-08
CAG-196	9.12E-08
GCA-016699895	8.90E-08
CAIZGN01	8.90E-08
Shewanella	8.90E-08
UMGS1490	8.90E-08
CAG-492	8.86E-08
VGWG01	8.82E-08
Xanthobacter	8.78E-08
Sporofaciens	8.73E-08
GCA-002733105	8.73E-08
Caldora	8.39E-08
JAQVSN01	8.39E-08
Barnesiella_A	8.08E-08
Eubacterium_B	8.08E-08
Merdimorpha	7.87E-08
Marinoscillum	7.82E-08
Carbobacillus	7.68E-08
CAIZWU01	7.61E-08
PLanc-01	7.61E-08
JACKPD01	7.61E-08
JACQVT01	7.61E-08
RPQJ01	7.12E-08
Pseudoxanthomonas	7.04E-08
RGIG5579	7.04E-08
Methylomonas	7.04E-08
JAAYIR01	6.92E-08
Brevibacterium	6.91E-08
RUG13615	6.91E-08
Emergencia	6.81E-08
WRNX01	6.78E-08
UMGS1975	6.64E-08
HGM12619	6.51E-08
UMGS856	6.38E-08
Mogibacterium_A	6.38E-08
Deinococcus_C	6.29E-08
JACQFH01	6.29E-08
JABEVM01	6.29E-08
WGLV01	6.29E-08
Sulfuricurvum	6.29E-08
WRCC01	6.29E-08
Weissella	6.25E-08
JAAYHF01	6.25E-08
Paracholeplasma	6.12E-08
Parafannyhessea	6.12E-08
CAKXIK01	6.12E-08
DTU022	5.99E-08
CAG-269	5.99E-08
Dialister	5.90E-08
JALCRY01	5.86E-08
Fimivivens	5.86E-08
Parachristensenella	5.86E-08
VGKN01	5.83E-08
FMMP01	5.70E-08
Aminobacterium	5.65E-08
Faeciplasma	5.60E-08
Gallimonas	5.47E-08
Hornefia	5.47E-08
JAADJA01	5.34E-08
